hora;pista estadio;cancha rugby;cancha estadio;7x7;5x5;gimnasio 1;gimnasio 2;cancha de tenis;patio central;piscina;sala M404 mesas;terraza;sala M404 play;sala M404 pcs
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
3;1;1;1;1;1;1;1;1;1;1;1;1;1;1
4;1;1;1;1;1;1;1;1;1;1;1;1;1;1
5;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;1;1;1;1;1;1;1;1;1;1;1;1;1;1
7;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;1;1;1;1;1;1;1;1;1;1;1;1;1;1
9;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10;1;1;1;1;1;1;1;1;1;1;1;1;1;1
11;1;1;1;1;1;1;1;1;1;1;1;1;1;1
12;1;1;1;1;1;1;1;1;1;1;1;1;1;1
13;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14;1;1;1;1;1;1;1;1;1;1;1;1;1;1
15;1;1;1;1;1;1;1;1;1;1;1;1;1;1
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;1;1;1;1;1;1;1;1;1;1;1;1;1;1
21;1;1;1;1;1;1;1;1;1;1;1;1;1;1
22;1;1;1;1;1;1;1;1;1;1;1;1;1;1
23;1;1;1;1;1;1;1;1;1;1;1;1;1;1
24;1;1;1;1;1;1;1;1;1;1;1;1;1;1
25;1;1;1;1;1;1;1;1;1;1;1;1;1;1
26;1;1;1;1;1;1;1;1;1;1;1;1;1;1
27;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28;1;1;1;1;1;1;1;1;1;1;1;1;1;1
29;1;1;1;1;1;1;1;1;1;1;1;1;1;1
30;1;1;1;1;1;1;1;1;1;1;1;1;1;1
31;1;1;1;1;1;1;1;1;1;1;1;1;1;1
32;1;1;1;1;1;1;1;1;1;1;1;1;1;1
33;1;1;1;1;1;1;1;1;1;1;1;1;1;1
34;1;1;1;1;1;1;1;1;1;1;1;1;1;1
35;1;1;1;1;1;1;1;1;1;1;1;1;1;1
36;1;1;1;1;1;1;1;1;1;1;1;1;1;1
37;1;1;1;1;1;1;1;1;1;1;1;1;1;1
38;1;1;1;1;1;1;1;1;1;1;1;1;1;1
39;1;1;1;1;1;1;1;1;1;1;1;1;1;1
40;1;1;1;1;1;1;1;1;1;1;1;1;1;1
