evento; veces que se juega;jerarquia;deporte atractivo;deporte;duracion
FUT11 grupo1;1;3;0;futbol 11;6
FUT11 grupo2;1;3;0;futbol 11;6
FUT11 grupo3;1;3;0;futbol 11;6
FUT11 grupo4;1;3;0;futbol 11;6
FUT11 grupo5;1;3;0;futbol 11;6
FUT11 grupo6;1;3;0;futbol 11;6
FUT11 grupo7;1;3;0;futbol 11;6
FUT11 grupo8;1;3;0;futbol 11;6
FUT11 grupo9;1;3;0;futbol 11;6
FUT11 grupo10;1;3;0;futbol 11;6
FUT11 grupo11;1;3;0;futbol 11;6
FUT11 grupo12;1;3;0;futbol 11;6
FUT11 3-4;1;2;0;futbol 11;6
FUT11 F;1;1;1;futbol 11;6
FUT7 grupo1 ;1;3;0;futbolito;5
FUT7 grupo2;1;3;0;futbolito;5
FUT7 grupo3;1;3;0;futbolito;5
FUT7 grupo4;1;3;0;futbolito;5
FUT7 grupo5;1;3;0;futbolito;5
FUT7 grupo6;1;3;0;futbolito;5
FUT7 grupo7 ;1;3;0;futbolito;5
FUT7 grupo8 ;1;3;0;futbolito;5
FUT7 grupo9 ;1;3;0;futbolito;5
FUT7 grupo10 ;1;3;0;futbolito;5
FUT7 grupo11 ;1;3;0;futbolito;5
FUT7 grupo12;1;3;0;futbolito;5
FUT7 3-4;1;2;0;futbolito;5
FUT7 F;1;1;0;futbolito;5
BSK-D grupo1;1;3;0;basquetball damas;4
BSK-D grupo2;1;3;0;basquetball damas;4
BSK-D grupo3;1;3;0;basquetball damas;4
BSK-D grupo4;1;3;0;basquetball damas;4
BSK-D grupo5;1;3;0;basquetball damas;4
BSK-D grupo6;1;3;0;basquetball damas;4
BSK-D grupo7;1;3;0;basquetball damas;4
BSK-D grupo8;1;3;0;basquetball damas;4
BSK-D grupo9;1;3;0;basquetball damas;4
BSK-D grupo10;1;3;0;basquetball damas;4
BSK-D grupo11;1;3;0;basquetball damas;4
BSK-D grupo12;1;3;0;basquetball damas;4
BSK-D 3-4;1;2;0;basquetball damas;4
BSK-D F;1;1;0;basquetball damas;4
BSK-V grupo1;1;3;0;basquetball varones;4
BSK-V grupo2;1;3;0;basquetball varones;4
BSK-V grupo3;1;3;0;basquetball varones;4
BSK-V grupo4;1;3;0;basquetball varones;4
BSK-V grupo5;1;3;0;basquetball varones;4
BSK-V grupo6;1;3;0;basquetball varones;4
BSK-V grupo7;1;3;0;basquetball varones;4
BSK-V grupo8;1;3;0;basquetball varones;4
BSK-V grupo9;1;3;0;basquetball varones;4
BSK-V grupo10;1;3;0;basquetball varones;4
BSK-V grupo11;1;3;0;basquetball varones;4
BSK-V grupo12;1;3;0;basquetball varones;4
BSK-V 3-4;1;2;0;basquetball varones;4
BSK-V F;1;1;0;basquetball varones;4
VOL-V grupo1;1;3;0;voleyball varones;3
VOL-V grupo2;1;3;0;voleyball varones;3
VOL-V grupo3;1;3;0;voleyball varones;3
VOL-V grupo4;1;3;0;voleyball varones;3
VOL-V grupo5;1;3;0;voleyball varones;3
VOL-V grupo6;1;3;0;voleyball varones;3
VOL-V grupo7;1;3;0;voleyball varones;3
VOL-V grupo8;1;3;0;voleyball varones;3
VOL-V grupo9;1;3;0;voleyball varones;3
VOL-V grupo10;1;3;0;voleyball varones;3
VOL-V grupo11;1;3;0;voleyball varones;3
VOL-V grupo12;1;3;0;voleyball varones;3
VOL-V 3-4;1;2;0;voleyball varones;3
VOL-V F;1;1;0;voleyball varones;3
VOL-D grupo1;1;3;0;voleyball damas;3
VOL-D grupo2;1;3;0;voleyball damas;3
VOL-D grupo3;1;3;0;voleyball damas;3
VOL-D grupo4;1;3;0;voleyball damas;3
VOL-D grupo5;1;3;0;voleyball damas;3
VOL-D grupo6;1;3;0;voleyball damas;3
VOL-D grupo7;1;3;0;voleyball damas;3
VOL-D grupo8;1;3;0;voleyball damas;3
VOL-D grupo9;1;3;0;voleyball damas;3
VOL-D grupo10;1;3;0;voleyball damas;3
VOL-D grupo11;1;3;0;voleyball damas;3
VOL-D grupo12;1;3;0;voleyball damas;3
VOL-D 3-4;1;2;0;voleyball damas;3
VOL-D F;1;1;1;voleyball damas;3
TEN 4tos1;1;4;0;tenis;8
TEN 4tos2;1;4;0;tenis;8
TEN 4tos3;1;4;0;tenis;8
TEN 4tos4;1;4;0;tenis;8
TEN semi1;1;3;0;tenis;8
TEN semi2;1;3;0;tenis;8
TEN 3-4;1;2;0;tenis;8
TEN F;1;1;1;tenis;8
C5K;1;1;0;corrida;8
TMESA-V grupo1;1;3;0;tenis de mesa;2
TMESA-V grupo2;1;3;0;tenis de mesa;2
TMESA-V grupo3;1;3;0;tenis de mesa;2
TMESA-V grupo4;1;3;0;tenis de mesa;2
TMESA-V grupo5;1;3;0;tenis de mesa;2
TMESA-V grupo6;1;3;0;tenis de mesa;2
TMESA-V 3-4;1;2;0;tenis de mesa;2
TMESA-V F;1;1;0;tenis de mesa;2
TMESA-D grupo1;1;3;0;tenis de mesa;2
TMESA-D grupo2;1;3;0;tenis de mesa;2
TMESA-D grupo3;1;3;0;tenis de mesa;2
