cancha;futbol 11;futbolito;basquetball damas;basquetball varones;voleyball damas;voleyball varones;tenis;natacion;tenis de mesa;rugby;quemadas;ajedrez;coreografia;lol;futbol tenis;poker;fifa;ssb;dudo;taca taca varones;rayuela;cachipun;tenis de mesa;corrida;taca taca mixto;taca taca damas
cancha estadio;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0
7x7;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;1;1;1;0;1;1
5x5;0;1;1;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;1;1;1;0;1;1
gimnasio 1;0;0;1;1;1;1;0;0;1;0;1;0;1;0;1;0;0;0;0;1;1;1;1;0;1;1
cancha de tenis;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
patio central;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;1;1;1;1;0;1;1
piscina;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gimnasio 2;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;1;1;1;1;0;1;1
sala M404;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;1;0;0;0;1;1
terraza;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;1;1;1;1;0;1;1
